latitude,longitude,area_code
-43.55446,172.65833,330800
-43.78393,172.90976,333300
-43.53885,172.61747,324900
-43.50358,172.58965,319900
-43.73922,172.79493,333100
-43.53267,172.59539,323300
-43.81054,172.97323,333500
-43.518,172.73118,330200
-43.78626,172.80831,333100
-43.52402,172.63867,325800
-43.529762,172.597122,322400
-43.55884,172.55375,322900
-43.56044,172.55462,322900
-43.56069,172.54278,322900
-43.52957,172.64322,327000
-43.51679,172.65761,325900
-43.5183,172.68871,328400
-43.47125,172.56996,316700
-43.47004,172.57088,316700
-43.47117,172.57144,316700
-43.47124,172.56978,316700
-43.47127,172.56978,316700
-43.47165,172.57018,317000
-43.47104,172.56987,316700
-43.47138,172.57044,316700
-43.4694,172.57005,316700
-43.47092,172.56966,316700
-43.56436,172.63044,329100
-43.81713,172.95164,333300
-43.51147,172.63827,323800
-43.52348,172.53364,318700
-43.54111,172.61587,326400
-43.60255,172.72169,332501
-43.60421,172.72299,332501
-43.6043,172.7228,332501
-43.52886,172.63339,325700
-43.577,172.76889,332700
-43.52746,172.73739,331700
-43.52841,172.64482,327000
-43.53028,172.62874,325700
-43.52906,172.6432,327000
-43.60366,172.6936,332501
-43.76103,172.95207,333300
-43.5161,172.62774,323900
-43.52922,172.61152,325200
-43.5761604309082,172.57949829101562,327301
-43.52232,172.6295,325700
-43.53915,172.62152,327100
-43.55499,172.53837,321102
-43.52975,172.63986,327000
-43.50331759588552,172.58236443877755,319200
-43.47103,172.57169,316700
-43.47002,172.57088,316700
-43.53932189941406,172.6201171875,327100
-43.53952,172.62106,327100
-43.47029,172.57093,316700
-43.53636,172.66097,328900
-43.52109,172.64059,325800
-43.79912,172.97038,333500
-43.78569,172.80933,333100
-43.56838,172.64721,331200
-43.53749,172.63725,327100
-43.52753,172.64305,327000
-43.52007,172.58993,320600
-43.552921,172.669952,331000
-43.60236,172.70845,332501
-43.53464,172.63112,325700
-43.53487,172.60127,324400
-43.53641,172.64227,327100
-43.53661,172.63883,327100
-43.53476,172.64225,326600
-43.54023,172.61128,325500
-43.56947,172.64111,330600
-43.53413,172.6304,325700
-43.78621,172.94895,333300
-43.5515,172.64376,329400
-43.51521,172.63878,324800
-43.81493,172.96426,333500
-43.8029,172.9882,333300
-43.57988,172.62808,330300
-43.51076,172.63743,323800
-43.51085,172.63853,323800
-43.5114,172.63837,323800
-43.46084,172.66631,321301
-43.56551,172.71107,332000
-43.52178,172.64264,325800
-43.4756136,172.6115366,318800
-43.60044,172.70703,332501
-43.51998,172.62263,323000
-43.60412,172.69131,332501
-43.8072,172.96675,333500
-43.53872,172.62021,327100
-43.52201,172.5277,318700
-43.5292,172.58831,322400
-43.52999,172.58969,322400
-43.57295,172.77326,332700
-43.57331859509404,172.77420032769442,332700
-43.50413131713867,172.56784057617188,318300
-43.56294,172.73986,332100
-43.5216,172.63786,325800
-43.52148,172.63849,325800
-43.52298,172.6368,325800
-43.52317,172.63862,325800
-43.51589,172.64376,325302
-43.56828,172.71835,332000
-43.51932,172.54181,317701
-43.46165,172.61642,317400
-43.66836,172.82038,333201
-43.53006,172.64348,327000
-43.5318234,172.6438498,327000
-43.53835,172.62151,327100
-43.57154,172.63465,331300
-43.519215,172.535065,317701
-43.56057,172.73905,332100
-43.51987,172.64032,324800
-43.53742,172.62051,324900
-43.529789,172.597031,322400
-43.53087,172.64523,327000
-43.52027,172.63838,324800
-43.51946,172.63947,324800
-43.52351,172.64143,325800
-43.76006,172.9145,333400
-43.81033,172.97036,333500
-43.81497,172.95135,333400
-43.8163,172.95242,333500
-43.53241,172.57079,322000
-43.53259,172.57203,322000
-43.53166,172.57176,321800
-43.79757,172.96629,333300
-43.54863,172.58696,325000
-43.48966,172.54814,316700
-43.52799,172.64227,327000
-43.48946,172.54867,316700
-43.57199,172.62887,330300
-43.5348,172.64281,327100
-43.66171,172.76892,333201
-43.5308,172.638748,326600
-43.49107,172.55009,316700
-43.48955,172.54792,316700
-43.53952,172.62204,327100
-43.53336,172.64232,327000
-43.63958,172.75167,332901
-43.6064247,172.6811556,332501
-43.79384,172.96914,333300
-43.48889,172.54921,316700
-43.81554,172.96408,333500
-43.52079,172.62698,323000
-43.5339,172.64374,327100
-43.60331,172.722229,332501
-43.59833,172.61693,330000
-43.81169,172.90853,333300
-43.49273,172.69195,325601
-43.54884,172.59496,325000
-43.5140413,172.6431534,325302
-43.80822,172.9752,333500
-43.8073,172.97327,333500
-43.6305,172.72373,332901
-43.53614,172.63934,326600
-43.50428,172.60933,321400
-43.53203,172.6109,325200
-43.67692,172.8806,333201
-43.53336,172.64166,327000
-43.51391,172.65364,325900
-43.52365,172.62835,325700
-43.53846,172.58483,323500
-43.52822,172.64532,327000
-43.52995,172.64517,327000
-43.53071,172.62882,325700
-43.80033,172.97273,333500
-43.57712,172.56505,326301
-43.53407,172.64206,327000
-43.4716,172.56983,316700
-43.52799,172.64852,327000
-43.80867,172.9612,333400
-43.52889,172.64506,327000
-43.80191,172.97999,333500
-43.46982,172.57101,316700
-43.55195,172.61422,327600
-43.53105,172.6442,327000
-43.52586,172.66755,328500
-43.52845,172.64639,327000
-43.53796,172.6382,327100
-43.63181,172.74083,332901
-43.54373,172.63638,328100
-43.54259,172.63797,328100
-43.544,172.63626,328100
-43.54301,172.6382,328100
-43.53412,172.64153,327000
-43.52973,172.64511,327000
-43.80961990356445,172.96246337890625,333500
-43.74227,173.09222,333201
-43.52921,172.64912,327000
-43.76174,172.8075,333100
-43.52388,172.64084,325800
-43.52346,172.64251,325800
-43.52588,172.63086,325700
-43.5702,172.75039,332400
-43.79892,172.96755,333300
-43.55307,172.64637,329400
-43.62822,172.74174,332901
-43.53137,172.58117,322700
-43.56847,172.74462,332400
-43.529858,172.596909,322400
-43.52953,172.61297,324900
-43.62929,172.65009,332200
-43.5325,172.6432,327100
-43.80781,172.96323,333400
-43.5482,172.62304,327600
-43.52502,172.64274,325800
-43.52428,172.64159,325800
-43.5677,172.71034,332000
-43.74744,172.9325,333300
-43.79687,172.96294,333300
-43.52536,172.64226,325800
-43.56207,172.73328,332100
-43.52533,172.64131,325800
-43.52359,172.64247,325800
-43.52096,172.55327,319700
-43.52896,172.63959,326600
-43.57498,172.54789,324501
-43.61521,172.81537,332601
-43.52826,172.61255,324900
-43.52387,172.64298,325800
-43.53424,172.66915,328900
-43.5357,172.60242,324400
-43.53335,172.62874,325700
-43.48905,172.59272,317800
-43.53266,172.62805,325700
-43.5315,172.62765,325700
-43.53281,172.62722,324900
-43.53137,172.62907,325700
-43.53282,172.62732,324900
-43.53325,172.62746,324900
-43.53307,172.62848,325700
-43.53251,172.62714,324900
-43.53155,172.62862,325700
-43.53141,172.62773,325700
-43.5334,172.62905,325700
-43.53145,172.62802,325700
-43.53146,172.62849,325700
-43.5192,172.53539,317701
-43.52854,172.61055,323200
-43.50663,172.62798,322200
-43.510724,172.4977578,316600
-43.6492,172.81929,332301
-43.7475,172.82748,333100
-43.53248,172.64157,327000
-43.5258,172.64024,325800
-43.52755,172.63247,325700
-43.49945,172.60139,320100
-43.53662,172.60406,324400
-43.53662054444871,172.6039099394667,324400
