TimeFrame,Location ID,Dwelling Type,Total Bonds,Active Bonds,Closed Bonds,Median Rent,Geometric Mean Rent
1/04/2026,162100,ALL,36,102,3,683,645
1/04/2026,162400,ALL,9,15,0,660,693
1/04/2026,162600,ALL,45,108,3,680,623
1/04/2026,162800,ALL,9,39,3,570,566
1/04/2026,163000,ALL,39,99,0,580,548
1/04/2026,163100,ALL,6,36,0,675,612
1/04/2026,163200,ALL,45,156,9,555,514
1/04/2026,163300,ALL,15,51,9,650,587
1/04/2026,163400,ALL,21,45,3,820,778
1/04/2026,163500,ALL,18,60,6,650,581
1/04/2026,163600,ALL,15,54,3,570,545
1/04/2026,163700,ALL,15,33,6,670,645
1/04/2026,163900,ALL,6,21,3,630,660
1/04/2026,164000,ALL,15,36,0,670,671
1/04/2026,164200,ALL,12,27,0,620,647
1/04/2026,164300,ALL,18,48,3,650,663
1/04/2026,164400,ALL,6,24,6,580,552
1/04/2026,164500,ALL,6,27,0,505,406
1/04/2026,164600,ALL,12,27,3,700,716
1/04/2026,164700,ALL,9,12,0,610,570
1/04/2026,165100,ALL,9,21,0,823,938
1/04/2026,165300,ALL,18,66,3,640,607
1/04/2026,165500,ALL,30,75,3,630,601
1/04/2026,165600,ALL,6,18,3,683,668
1/04/2026,165800,ALL,6,42,6,680,634
1/04/2026,166300,ALL,6,9,3,725,655
1/04/2026,167100,ALL,21,63,3,580,542
1/04/2026,167800,ALL,12,33,3,603,565
1/04/2026,168500,ALL,18,30,6,640,616
1/04/2026,169200,ALL,9,36,3,480,484
1/04/2026,169400,ALL,9,15,0,590,586
1/04/2026,170000,ALL,12,45,3,630,593
1/04/2026,170300,ALL,6,18,0,635,661
1/04/2026,170500,ALL,15,48,3,750,712
1/04/2026,170802,ALL,9,27,3,650,638
1/04/2026,171100,ALL,6,36,0,398,363
1/04/2026,171400,ALL,9,24,0,500,504
1/04/2026,171500,ALL,15,63,3,450,396
1/04/2026,171600,ALL,27,81,6,600,563
1/04/2026,171801,ALL,6,9,0,455,445
1/04/2026,171802,ALL,9,24,0,625,572
1/04/2026,171900,ALL,6,21,0,540,508
1/04/2026,172000,ALL,6,12,0,708,713
1/04/2026,172600,ALL,9,21,3,695,696
1/04/2026,173000,ALL,6,9,0,495,512
1/04/2026,173800,ALL,12,21,0,678,636
1/04/2026,173900,ALL,18,51,3,565,536
1/04/2026,174000,ALL,12,30,3,580,544
1/04/2026,174100,ALL,12,33,0,550,524
1/04/2026,175300,ALL,12,72,3,690,556
1/04/2026,175500,ALL,6,18,0,798,824
1/04/2026,175600,ALL,15,42,0,710,585
1/04/2026,175700,ALL,9,30,0,580,586
1/04/2026,175800,ALL,15,39,3,570,490
1/04/2026,175900,ALL,9,30,3,780,763
1/04/2026,176100,ALL,15,33,3,780,741
1/04/2026,176200,ALL,12,27,0,750,749
1/04/2026,176400,ALL,9,36,0,620,593
1/04/2026,176500,ALL,18,42,3,620,640
1/04/2026,176600,ALL,15,30,3,640,610
1/04/2026,176800,ALL,6,30,0,565,569
1/04/2026,177200,ALL,18,54,0,575,587
1/04/2026,177400,ALL,12,39,3,645,635
1/04/2026,177500,ALL,12,27,0,625,578
1/04/2026,177600,ALL,21,69,6,590,522
1/04/2026,177700,ALL,21,60,0,580,520
1/04/2026,177800,ALL,15,81,6,530,508
1/04/2026,177900,ALL,12,78,6,560,555
1/04/2026,178000,ALL,30,111,3,588,571
1/04/2026,178100,ALL,12,36,0,575,566
1/04/2026,178200,ALL,21,75,6,580,576
1/04/2026,178300,ALL,54,369,24,420,419
1/04/2026,178500,ALL,12,30,0,575,589
1/04/2026,178700,ALL,39,114,9,550,552
1/04/2026,178800,ALL,12,84,0,568,564
1/04/2026,178900,ALL,15,90,3,520,511
1/04/2026,179000,ALL,9,36,3,570,538
1/04/2026,179100,ALL,15,63,6,510,520
1/04/2026,179200,ALL,24,51,0,700,654
1/04/2026,179300,ALL,33,279,12,380,402
1/04/2026,179400,ALL,18,123,9,450,380
1/04/2026,179500,ALL,27,240,15,570,506
1/04/2026,179600,ALL,21,141,9,575,475
1/04/2026,179700,ALL,51,387,15,450,457
1/04/2026,179800,ALL,27,171,6,450,455
1/04/2026,179900,ALL,132,645,39,330,363
1/04/2026,180000,ALL,12,42,0,595,542
1/04/2026,180100,ALL,60,300,27,325,373
1/04/2026,180200,ALL,21,96,3,600,499
1/04/2026,180300,ALL,18,81,12,395,420
1/04/2026,180400,ALL,9,24,0,600,584
1/04/2026,180500,ALL,12,36,3,545,578
1/04/2026,180600,ALL,27,117,12,530,429
1/04/2026,180700,ALL,24,162,3,450,397
1/04/2026,180800,ALL,27,126,3,355,392
1/04/2026,180900,ALL,9,54,3,550,459
1/04/2026,181000,ALL,9,33,3,670,649
1/04/2026,181100,ALL,6,30,0,655,666
1/04/2026,181200,ALL,6,66,0,590,446
1/04/2026,181300,ALL,6,12,3,683,700
1/04/2026,181600,ALL,6,18,0,390,513
1/04/2026,182100,ALL,9,15,0,675,521
1/04/2026,182600,ALL,12,27,0,778,747
1/04/2026,182700,ALL,12,51,0,688,661
1/04/2026,182800,ALL,12,42,6,628,537
1/04/2026,182900,ALL,9,21,3,775,776
